district_name,province,latitude,longitude,elevation_m,avg_annual_rainfall_mm,river_proximity_km,population_density,avg_summer_temp_celsius,historical_flood_events,historical_earthquake_events,historical_disasters,soil_type,vegetation_index_ndvi,infrastructure_quality_score,flood_risk,heatwave_risk,seismic_risk,overall_risk_score
Lahore,Punjab,30.494,73.7802,201.5,428.6,11.92,1215.0,38.8,2,0,2,alluvial,0.442,7.1,1,1,0,7.4
Faisalabad,Punjab,30.9731,73.928,206.4,501.4,0.2,3.0,35.2,5,0,5,rocky,0.097,5.4,0,1,1,6.6
Rawalpindi,Punjab,29.6351,71.8723,343.1,685.1,21.75,617.1,37.0,2,0,2,sandy,0.577,6.7,1,0,0,2.9
Multan,Punjab,32.407,71.6678,280.2,489.5,3.75,761.8,32.1,7,0,7,sandy,0.151,5.4,1,0,0,3.1
Gujranwala,Punjab,32.2445,74.0444,222.8,376.0,14.41,803.6,37.9,9,1,10,alluvial,0.506,7.4,1,0,1,6.7
Sialkot,Punjab,31.1056,72.1557,7672.811233294771,649.1,7.46,569.8,36.7,4,5,4,alluvial,0.29,5.9,1,0,2,10.0
Bahawalpur,Punjab,32.8036,70.2038,37.3,527.2,23.11,85.1,35.8,8,1,9,alluvial,0.241,3.6,1,1,0,6.8
Sargodha,Punjab,31.748,70.4601,103.2,726.4,0.2,814.8,34.1,7,0,7,sandy,0.37,5.4,1,2,0,10.0
Sheikhupura,Punjab,29.6251,70.845,68.8,483.0,0.2,1304.6,34.8,4,1,5,alluvial,0.417,9.6,1,0,0,3.1
Rahim Yar Khan,Punjab,31.59,73.3949,133.2,229.6,67.58,163.1,30.3,0,0,0,alluvial,0.334,2.9,0,0,0,1.0
Jhang,Punjab,29.4658,72.7564,14.8,203.7,0.2,1002.3,34.0,7,0,7,sandy,0.556,6.9,1,0,0,3.0
Dera Ghazi Khan,Punjab,32.4055,73.7429,256.2,747.2,3.06,585.0,35.0,4,1,5,rocky,0.37,3.0,2,1,1,10.0
Gujrat,Punjab,30.9201,71.7309,7133.565048935871,760.3,61.74,678.5,35.1,0,4,0,sandy,0.626,5.8,0,0,2,6.5
Kasur,Punjab,30.7042,72.7854,3.5,417.7,83.1,331.5,36.8,1,0,1,clay,0.501,5.2,0,1,0,2.9
Sahiwal,Punjab,29.9105,73.6261,58.1,381.0,1.57,582.9,29.7,5,0,5,clay,0.324,2.2,1,0,0,3.6
Okara,Punjab,32.9561,71.9432,217.6,713.1,17.64,1155.0,33.4,6,3,9,clay,0.294,6.7,2,0,1,10.0
Muzaffargarh,Punjab,30.7528,73.3222,280.6,913.7789237609702,1.9006493094992691,903.9,36.9,7,0,7,alluvial,0.153,5.3,2,1,0,10.0
Vehari,Punjab,30.3147,71.3085,419.6,288.9,59.57,1306.3,30.9,2,1,3,clay,0.502,2.2,0,0,1,3.4
Chiniot,Punjab,30.4366,71.8465,529.7,565.8,5.26,1112.1,31.8,8,0,8,clay,0.386,7.5,1,0,0,3.5
Hafizabad,Punjab,31.8517,71.8129,229.7,379.0,20.09,853.7,35.9,5,1,6,clay,0.023,8.6,0,0,0,1.0
Nankana Sahib,Punjab,31.5847,70.3475,61.3,449.1,40.55,1310.4,39.3,3,0,3,rocky,0.354,8.7,0,1,0,3.6
Toba Tek Singh,Punjab,31.6604,73.3766,0.0,420.6,33.7,853.6,33.4,3,1,4,rocky,0.288,6.6,0,0,0,1.0
Layyah,Punjab,31.6893,71.6551,212.1,510.8,17.48,989.8,39.4,3,0,3,alluvial,0.734,6.1,2,0,0,6.8
Khanewal,Punjab,34.4266,72.5225,82.4,703.3,22.32,596.2,36.8,2,0,2,clay,0.143,8.4,0,2,0,6.7
Mianwali,Punjab,30.3497,73.3653,130.2,466.3,0.2,723.3,36.4,9,0,9,alluvial,0.191,9.0,1,1,0,6.3
Bhakkar,Punjab,30.1804,73.3038,106.5,565.9,20.24,455.9,36.1,4,0,4,clay,0.65,8.0,0,1,0,2.9
Jhelum,Punjab,29.698,73.6977,163.1,81.0,19.67,1046.4,41.0,3,0,3,alluvial,0.694,4.3,0,1,0,3.1
Attock,Punjab,31.9856,72.3227,307.9,441.2,29.64,287.6,33.5,3,0,3,alluvial,0.316,6.4,0,1,0,3.5
Narowal,Punjab,32.8064,71.7381,198.8,298.2,13.89,973.8,27.6,7,1,8,sandy,0.336,6.8,1,0,1,6.9
Pakpattan,Punjab,30.8177,72.3565,161.0,230.6,34.43,633.3,37.4,3,0,3,clay,0.561,2.7,0,1,1,6.3
Lahore Rural-2,Punjab,29.6557,69.4628,55.7,291.9,45.25,1109.9,31.1,4,0,4,rocky,0.031,6.8,0,1,0,3.0
Faisalabad Rural-2,Punjab,29.6808,69.8952,0.0,389.9,28.11,962.8,35.0,9,0,9,alluvial,0.115,10.0,1,1,0,6.4
Rawalpindi Rural-2,Punjab,32.0409,70.1191,121.6,614.9,32.04,1337.2,37.7,4,0,4,alluvial,0.399,7.2,2,1,0,9.8
Multan Rural-2,Punjab,32.1892,70.705,173.5,211.2,26.06,955.8,28.6,1,0,1,clay,0.729,8.7,0,0,0,1.0
Gujranwala Rural-2,Punjab,31.869,73.2196,392.2,455.5,25.0,149.8,30.3,4,2,6,alluvial,0.372,6.3,0,0,1,3.0
Sialkot Rural-2,Punjab,29.9352,70.8701,195.6,362.8,10.57,676.6,30.0,4,1,5,alluvial,0.468,5.9,1,0,0,3.1
Bahawalpur Rural-2,Punjab,31.3715,71.8193,297.9,391.0,31.33,289.8,31.8,3,0,3,rocky,0.654,6.7,0,0,0,1.0
Sargodha Rural-2,Punjab,31.1867,74.8386,120.1,630.5,23.05,518.6,34.7,1,0,1,alluvial,0.829,4.5,0,0,0,1.0
Sheikhupura Rural-2,Punjab,31.3499,71.8587,37.8,546.9,66.86,1228.9,36.8,0,0,0,alluvial,0.346,4.3,0,1,0,3.3
Rahim Yar Khan Rural-2,Punjab,32.3943,73.8275,64.2,690.7,56.47,923.1,36.4,4,0,4,clay,0.447,8.3,1,0,0,3.6
